É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:31:23

,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ
2017/1/10,-0.2,8,1,4.8,8,1,-3.7,8,1,0.0,0,8,1,8.0,0,8,1,0,1,8,1,77,8,1
2017/1/11,-2.5,8,1,2.7,8,1,-6.7,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,64,8,1
2017/1/12,-3.0,8,1,1.4,8,1,-8.5,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,69,8,1
2017/1/13,-2.3,8,1,2.2,8,1,-5.1,8,1,0.0,0,8,1,3.1,0,8,1,2,0,8,1,77,8,1
2017/1/14,-7.1,8,1,-4.3,8,1,-10.6,8,1,2.5,0,8,1,0.9,0,8,1,6,0,8,1,85,8,1
2017/1/15,-8.9,8,1,-4.8,8,1,-11.2,8,1,3.0,0,8,1,3.8,0,8,1,7,0,8,1,90,8,1
2017/1/16,-6.1,8,1,-2.4,8,1,-10.9,8,1,9.5,0,8,1,5.3,0,8,1,15,0,8,1,87,8,1
2017/1/17,-3.8,8,1,0.5,8,1,-5.6,8,1,5.5,0,8,1,4.1,0,8,1,7,0,8,1,95,8,1
2017/1/18,-4.6,8,1,1.7,8,1,-7.6,8,1,0,1,8,1,5.2,0,8,1,0,1,8,1,86,8,1
2017/1/19,-4.7,8,1,0.1,8,1,-9.8,8,1,0,1,8,1,5.4,0,8,1,0,1,8,1,89,8,1
2017/1/20,-4.8,8,1,-0.4,8,1,-8.7,8,1,0.0,0,8,1,4.9,0,8,1,0,1,8,1,88,8,1
2017/1/21,-4.1,8,1,-0.4,8,1,-7.3,8,1,8.5,0,8,1,4.9,0,8,1,15,0,8,1,93,8,1
2017/1/22,-3.2,8,1,2.7,8,1,-11.0,8,1,0.0,0,8,1,9.3,0,8,1,0,1,8,1,71,8,1
2017/1/23,-7.2,8,1,-2.8,8,1,-11.6,8,1,0.0,0,8,1,8.6,0,8,1,0,1,8,1,71,8,1
2017/1/24,-8.3,8,1,-3.1,8,1,-12.2,8,1,0.0,0,8,1,6.7,0,8,1,0,1,8,1,82,8,1
2017/1/25,-8.1,8,1,-0.3,8,1,-13.5,8,1,0.0,0,8,1,8.2,0,8,1,0,1,8,1,75,8,1
2017/1/26,-7.1,8,1,0.5,8,1,-15.0,8,1,0.0,0,8,1,9.7,0,8,1,0,1,8,1,72,8,1
2017/1/27,0.6,8,1,7.4,8,1,-8.4,8,1,0.0,0,8,1,5.9,0,8,1,0,1,8,1,58,8,1
2017/1/28,-2.6,8,1,3.2,8,1,-5.6,8,1,0.0,0,8,1,5.5,0,8,1,0,1,8,1,87,8,1
2017/1/29,0.1,8,1,5.5,8,1,-5.5,8,1,1.0,0,8,1,7.2,0,8,1,1,0,8,1,80,8,1
2017/1/30,2.9,8,1,7.6,8,1,-3.9,8,1,0.5,0,8,1,0.4,0,8,1,1,0,8,1,86,8,1
2017/1/31,-4.9,8,1,-0.1,8,1,-8.5,8,1,0.0,0,8,1,9.9,0,8,1,0,1,8,1,68,8,1
2017/2/1,-3.5,8,1,3.7,8,1,-10.0,8,1,0.0,0,8,1,7.5,0,8,1,0,1,8,1,73,8,1
2017/2/2,-4.8,8,1,-0.3,8,1,-9.1,8,1,0.0,0,8,1,9.4,0,8,1,0,1,8,1,54,8,1
2017/2/3,-2.0,8,1,3.5,8,1,-6.0,8,1,0.0,0,8,1,9.9,0,8,1,0,1,8,1,57,8,1
2017/2/4,-3.2,8,1,3.5,8,1,-8.6,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,76,8,1
2017/2/5,-2.1,8,1,2.5,8,1,-7.5,8,1,2.5,0,8,1,1.4,0,8,1,4,0,8,1,89,8,1
2017/2/6,-0.6,8,1,4.7,8,1,-5.6,8,1,1.5,0,8,1,6.7,0,8,1,2,0,8,1,84,8,1
2017/2/7,-4.9,8,1,-1.0,8,1,-7.9,8,1,0.0,0,8,1,9.4,0,8,1,0,1,8,1,63,8,1
2017/2/8,-4.6,8,1,1.8,8,1,-8.0,8,1,0.0,0,8,1,8.7,0,8,1,0,1,8,1,77,8,1
2017/2/9,-4.2,8,1,-2.2,8,1,-7.6,8,1,2.0,0,8,1,0.0,0,8,1,5,0,8,1,93,8,1
2017/2/10,-4.5,8,1,-0.1,8,1,-11.7,8,1,2.5,0,8,1,8.4,0,8,1,5,0,8,1,70,8,1
2017/2/11,-6.1,8,1,-0.6,8,1,-12.1,8,1,0.0,0,8,1,9.5,0,8,1,0,1,8,1,62,8,1
2017/2/12,-5.0,8,1,1.0,8,1,-9.3,8,1,0.0,0,8,1,8.1,0,8,1,1,0,8,1,73,8,1
2017/2/13,-4.5,8,1,2.2,8,1,-9.2,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,77,8,1
2017/2/14,-4.6,8,1,2.4,8,1,-9.2,8,1,0.0,0,8,1,8.7,0,8,1,0,1,8,1,75,8,1
2017/2/15,-3.8,8,1,3.6,8,1,-8.2,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,74,8,1
2017/2/16,-0.2,8,1,10.2,8,1,-10.0,8,1,0,1,8,1,10.3,0,8,1,0,1,8,1,60,8,1
2017/2/17,4.8,8,1,9.4,8,1,-1.9,8,1,1.5,0,8,1,2.8,0,8,1,0,1,8,1,65,8,1
2017/2/18,-2.6,8,1,3.0,8,1,-5.6,8,1,0.5,0,8,1,6.0,0,8,1,3,0,8,1,83,8,1
2017/2/19,-3.8,8,1,2.9,8,1,-8.7,8,1,0.5,0,8,1,10.1,0,8,1,1,0,8,1,69,8,1
2017/2/20,2.6,8,1,7.3,8,1,-3.5,8,1,11.0,0,8,1,0.9,0,8,1,1,0,8,1,74,8,1
2017/2/21,-4.5,8,1,-1.5,8,1,-7.6,8,1,2.0,0,8,1,9.1,0,8,1,5,0,8,1,69,8,1
2017/2/22,-2.8,8,1,3.2,8,1,-9.9,8,1,0.0,0,8,1,8.4,0,8,1,0,1,8,1,69,8,1
2017/2/23,4.3,8,1,13.3,8,1,-1.3,8,1,1.0,0,8,1,3.5,0,8,1,1,0,8,1,82,8,1
2017/2/24,-3.0,8,1,2.3,8,1,-7.0,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,66,8,1
2017/2/25,-2.0,8,1,4.9,8,1,-8.9,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,63,8,1
2017/2/26,-0.9,8,1,6.1,8,1,-7.3,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,69,8,1
2017/2/27,-2.1,8,1,4.3,8,1,-5.6,8,1,0.0,0,8,1,8.3,0,8,1,0,1,8,1,78,8,1
2017/2/28,-1.0,8,1,4.7,8,1,-4.5,8,1,0.0,0,8,1,7.9,0,8,1,0,1,8,1,79,8,1
2017/3/1,-1.0,8,1,5.6,8,1,-7.6,8,1,0.0,0,8,1,6.3,0,8,1,1,0,8,1,84,8,1
2017/3/2,0.4,8,1,2.9,8,1,-2.7,8,1,0.0,0,8,1,0.4,0,8,1,0,1,8,1,94,8,1
2017/3/3,-0.1,8,1,5.5,8,1,-5.2,8,1,0.0,0,8,1,8.7,0,8,1,0,1,8,1,74,8,1
2017/3/4,0.3,8,1,10.2,8,1,-7.9,8,1,0,1,8,1,10.9,0,8,1,0,1,8,1,64,8,1
2017/3/5,1.8,8,1,11.3,8,1,-5.4,8,1,0,1,8,1,8.0,0,8,1,0,1,8,1,72,8,1
2017/3/6,3.7,8,1,8.6,8,1,-2.6,8,1,0,1,8,1,0.9,0,8,1,0,1,8,1,58,8,1
2017/3/7,-2.7,8,1,4.0,8,1,-8.1,8,1,0.0,0,8,1,4.4,0,8,1,0,1,8,1,74,8,1
2017/3/8,-3.2,8,1,2.6,8,1,-9.5,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,62,8,1
2017/3/9,-0.3,8,1,6.0,8,1,-4.6,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,58,8,1
2017/3/10,-1.0,8,1,4.9,8,1,-5.7,8,1,0.0,0,8,1,9.4,0,8,1,0,1,8,1,63,8,1
2017/3/11,-2.5,8,1,4.8,8,1,-7.8,8,1,0.0,0,8,1,8.5,0,8,1,0,1,8,1,70,8,1
2017/3/12,-1.1,8,1,9.0,8,1,-9.1,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,68,8,1
2017/3/13,0.7,8,1,5.7,8,1,-2.7,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,84,8,1
2017/3/14,1.2,8,1,6.4,8,1,-1.9,8,1,0.0,0,8,1,1.1,0,8,1,0,1,8,1,91,8,1
2017/3/15,0.3,8,1,7.2,8,1,-3.4,8,1,0.0,0,8,1,4.7,0,8,1,0,1,8,1,71,8,1
2017/3/16,0.0,8,1,6.8,8,1,-6.1,8,1,0.0,0,8,1,9.3,0,8,1,0,1,8,1,68,8,1
2017/3/17,-0.4,8,1,7.9,8,1,-5.7,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,65,8,1
2017/3/18,0.3,8,1,8.3,8,1,-6.4,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,57,8,1
2017/3/19,2.2,8,1,10.3,8,1,-4.9,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,62,8,1
2017/3/20,3.8,8,1,12.3,8,1,-4.0,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,54,8,1
2017/3/21,0.7,8,1,3.1,8,1,-0.9,8,1,13.5,0,8,1,0.0,0,8,1,4,0,8,1,95,8,1
2017/3/22,-0.5,8,1,5.7,8,1,-4.4,8,1,0.0,0,8,1,9.2,0,8,1,0,1,8,1,72,8,1
2017/3/23,-0.8,8,1,7.1,8,1,-5.7,8,1,0,1,8,1,4.0,0,8,1,0,1,8,1,75,8,1
2017/3/24,-1.6,8,1,4.0,8,1,-5.6,8,1,0.0,0,8,1,8.9,0,8,1,0,1,8,1,69,8,1
2017/3/25,-0.4,8,1,7.5,8,1,-5.8,8,1,0.0,0,8,1,8.0,0,8,1,0,1,8,1,71,8,1
2017/3/26,-0.8,8,1,0.4,8,1,-2.5,8,1,15.0,0,8,1,0.0,0,8,1,28,0,8,1,94,8,1
2017/3/27,-0.6,8,1,4.2,8,1,-2.9,8,1,8.5,0,8,1,4.2,0,8,1,6,0,8,1,90,8,1
2017/3/28,0.0,8,1,6.9,8,1,-4.2,8,1,0.5,0,8,1,7.2,0,8,1,1,0,8,1,81,8,1
2017/3/29,1.0,8,1,8.6,8,1,-4.3,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,74,8,1
2017/3/30,4.3,8,1,14.2,8,1,-2.9,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,66,8,1
2017/3/31,-0.2,8,1,3.0,8,1,-2.2,8,1,4.5,0,8,1,0.0,0,8,1,6,0,8,1,90,8,1
2017/4/1,-0.7,8,1,1.3,8,1,-2.4,8,1,2.5,0,8,1,0.2,0,8,1,5,0,8,1,95,8,1
2017/4/2,0.9,8,1,9.5,8,1,-5.1,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,71,8,1
2017/4/3,0.6,8,1,10.4,8,1,-6.5,8,1,1.5,0,8,1,7.5,0,8,1,1,0,8,1,75,8,1
2017/4/4,4.1,8,1,13.0,8,1,-1.4,8,1,0.0,0,8,1,10.2,0,8,1,0,1,8,1,75,8,1
2017/4/5,7.5,8,1,16.7,8,1,-1.6,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,64,8,1
2017/4/6,8.4,8,1,15.2,8,1,0.1,8,1,1.0,0,8,1,5.0,0,8,1,0,1,8,1,72,8,1
2017/4/7,12.3,8,1,19.4,8,1,7.3,8,1,4.5,0,8,1,4.8,0,8,1,0,1,8,1,86,8,1
2017/4/8,11.1,8,1,13.8,8,1,8.6,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,98,8,1
2017/4/9,7.4,8,1,12.7,8,1,-0.9,8,1,11.0,0,8,1,1.2,0,8,1,0,1,8,1,91,8,1
2017/4/10,3.3,8,1,12.3,8,1,-3.5,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,59,8,1
2017/4/11,2.0,8,1,4.8,8,1,-0.4,8,1,29.5,0,8,1,0.0,0,8,1,2,0,8,1,93,8,1
2017/4/12,5.1,8,1,12.4,8,1,-1.7,8,1,0.0,0,8,1,9.3,0,8,1,0,1,8,1,76,8,1
2017/4/13,2.9,8,1,10.9,8,1,-5.2,8,1,0,1,8,1,12.4,0,8,1,0,1,8,1,63,8,1
2017/4/14,8.9,8,1,18.5,8,1,-2.1,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,46,8,1
2017/4/15,10.7,8,1,17.3,8,1,7.3,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,54,8,1
2017/4/16,12.9,8,1,21.0,8,1,2.8,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,42,8,1
2017/4/17,11.6,8,1,20.4,8,1,5.0,8,1,8.5,0,8,1,4.3,0,8,1,0,1,8,1,62,8,1
2017/4/18,13.1,8,1,23.1,8,1,4.6,8,1,15.5,0,8,1,10.5,0,8,1,0,1,8,1,76,8,1
2017/4/19,8.2,8,1,15.2,8,1,1.9,8,1,0.0,0,8,1,9.1,0,8,1,0,1,8,1,58,8,1
2017/4/20,7.3,8,1,16.2,8,1,-0.1,8,1,0.0,0,8,1,8.0,0,8,1,0,1,8,1,68,8,1
2017/4/21,8.4,8,1,14.5,8,1,5.1,8,1,0.0,0,8,1,1.9,0,8,1,0,1,8,1,83,8,1
2017/4/22,6.9,8,1,15.8,8,1,1.8,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,68,8,1
2017/4/23,5.3,8,1,15.1,8,1,-3.5,8,1,0,1,8,1,12.9,0,8,1,0,1,8,1,60,8,1
2017/4/24,7.8,8,1,16.5,8,1,-0.5,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,70,8,1
2017/4/25,9.4,8,1,15.9,8,1,3.8,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,74,8,1
2017/4/26,9.8,8,1,16.3,8,1,4.9,8,1,0.5,0,8,1,0.7,0,8,1,0,1,8,1,76,8,1
2017/4/27,6.2,8,1,12.9,8,1,-1.3,8,1,1.0,0,8,1,5.2,0,8,1,0,1,8,1,69,8,1
2017/4/28,6.9,8,1,16.5,8,1,-2.9,8,1,0,1,8,1,11.6,0,8,1,0,1,8,1,62,8,1
2017/4/29,8.2,8,1,16.8,8,1,0.9,8,1,0.0,0,8,1,6.1,0,8,1,0,1,8,1,63,8,1
2017/4/30,12.2,8,1,23.5,8,1,0.2,8,1,0,1,8,1,12.7,0,8,1,0,1,8,1,49,8,1
2017/5/1,9.7,8,1,17.2,8,1,-1.0,8,1,0.5,0,8,1,4.6,0,8,1,0,1,8,1,70,8,1
2017/5/2,8.5,8,1,17.7,8,1,-1.1,8,1,0,1,8,1,13.0,0,8,1,0,1,8,1,54,8,1
2017/5/3,10.8,8,1,20.0,8,1,1.5,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,61,8,1
2017/5/4,12.0,8,1,18.8,8,1,6.2,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,65,8,1
2017/5/5,13.4,8,1,22.9,8,1,3.5,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,66,8,1
2017/5/6,15.5,8,1,22.7,8,1,8.1,8,1,0.0,0,8,1,5.0,0,8,1,0,1,8,1,74,8,1
2017/5/7,13.0,8,1,21.5,8,1,5.4,8,1,0.0,0,8,1,9.4,0,8,1,0,1,8,1,54,8,1
2017/5/8,14.7,8,1,24.1,8,1,5.7,8,1,0,1,8,1,13.1,0,8,1,0,1,8,1,39,8,1
2017/5/9,11.2,8,1,15.8,8,1,4.8,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,70,8,1
2017/5/10,10.0,8,1,13.2,8,1,8.5,8,1,2.5,0,8,1,0.3,0,8,1,0,1,8,1,98,8,1
2017/5/11,13.9,8,1,21.2,8,1,8.1,8,1,0.0,0,8,1,9.6,0,8,1,0,1,8,1,68,8,1
2017/5/12,15.4,8,1,23.6,8,1,7.4,8,1,0.5,0,8,1,7.8,0,8,1,0,1,8,1,68,8,1
2017/5/13,11.1,8,1,12.9,8,1,10.2,8,1,28.5,0,8,1,0.0,0,8,1,0,1,8,1,100,8,1
2017/5/14,12.0,8,1,16.5,8,1,9.1,8,1,0.0,0,8,1,4.0,0,8,1,0,1,8,1,95,8,1
2017/5/15,10.3,8,1,12.1,5,1,9.1,8,1,0,1,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2017/5/16,12.0,8,1,19.7,8,1,7.0,8,1,0,1,8,1,7.6,0,8,1,0,1,8,1,76,8,1
2017/5/17,9.6,8,1,13.0,8,1,7.8,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2017/5/18,11.7,8,1,17.3,8,1,8.6,8,1,0.0,0,8,1,4.0,0,8,1,0,1,8,1,88,8,1
2017/5/19,14.1,8,1,22.0,8,1,5.9,8,1,0,1,8,1,12.6,0,8,1,0,1,8,1,73,8,1
2017/5/20,16.6,8,1,27.6,8,1,6.9,8,1,0,1,8,1,13.3,0,8,1,0,1,8,1,66,8,1
2017/5/21,18.5,8,1,28.9,8,1,9.1,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,64,8,1
2017/5/22,19.0,8,1,28.0,8,1,10.9,8,1,0,1,8,1,12.3,0,8,1,0,1,8,1,65,8,1
2017/5/23,17.3,8,1,25.3,8,1,10.3,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,75,8,1
2017/5/24,14.5,8,1,19.1,8,1,10.9,8,1,2.5,0,8,1,0.3,0,8,1,0,1,8,1,89,8,1
2017/5/25,13.1,8,1,14.8,8,1,11.2,8,1,25.5,0,8,1,0.0,0,8,1,0,1,8,1,97,8,1
2017/5/26,12.4,8,1,14.5,8,1,11.2,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,100,8,1
2017/5/27,13.8,8,1,19.7,8,1,10.1,8,1,3.5,0,8,1,8.1,0,8,1,0,1,8,1,90,8,1
2017/5/28,13.4,8,1,22.0,8,1,6.8,8,1,0.0,0,8,1,8.2,0,8,1,0,1,8,1,83,8,1
2017/5/29,14.7,8,1,23.6,8,1,5.0,8,1,0,1,8,1,13.4,0,8,1,0,1,8,1,75,8,1
2017/5/30,18.1,8,1,28.3,8,1,9.6,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,75,8,1
2017/5/31,18.1,8,1,25.7,8,1,12.1,8,1,0.0,0,8,1,3.8,0,8,1,0,1,8,1,76,8,1
2017/6/1,17.2,8,1,23.4,8,1,14.4,8,1,1.5,0,8,1,7.9,0,8,1,0,1,8,1,83,8,1
2017/6/2,12.5,8,1,17.6,8,1,5.9,8,1,24.5,0,8,1,10.0,0,8,1,0,1,8,1,71,8,1
2017/6/3,10.7,8,1,19.2,8,1,4.3,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,73,8,1
2017/6/4,10.2,8,1,18.6,8,1,3.3,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,71,8,1
2017/6/5,11.1,8,1,20.4,8,1,1.4,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,71,8,1
2017/6/6,13.6,8,1,19.5,8,1,8.3,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,80,8,1
2017/6/7,12.8,8,1,15.1,8,1,11.3,8,1,5.0,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2017/6/8,14.9,8,1,20.0,8,1,11.1,8,1,3.0,0,8,1,4.2,0,8,1,0,1,8,1,94,8,1
2017/6/9,15.5,8,1,22.6,8,1,11.0,8,1,5.0,0,8,1,8.6,0,8,1,0,1,8,1,86,8,1
2017/6/10,14.0,8,1,23.5,8,1,7.9,8,1,1.5,0,8,1,6.6,0,8,1,0,1,8,1,80,8,1
2017/6/11,11.7,8,1,21.1,8,1,5.5,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,78,8,1
2017/6/12,11.2,8,1,20.8,8,1,3.2,8,1,0,1,8,1,7.0,0,8,1,0,1,8,1,76,8,1
2017/6/13,10.5,8,1,15.3,8,1,5.7,8,1,2.5,0,8,1,2.5,0,8,1,0,1,8,1,92,8,1
2017/6/14,14.2,8,1,20.4,8,1,10.2,8,1,0.0,0,8,1,8.6,0,8,1,0,1,8,1,83,8,1
2017/6/15,15.1,8,1,20.8,8,1,10.6,8,1,8.0,0,8,1,9.0,0,8,1,0,1,8,1,83,8,1
2017/6/16,15.6,8,1,24.1,8,1,9.7,8,1,0,1,8,1,13.6,0,8,1,0,1,8,1,77,8,1
2017/6/17,15.4,8,1,22.4,8,1,10.2,8,1,0,1,8,1,11.7,0,8,1,0,1,8,1,76,8,1
2017/6/18,13.0,8,1,15.9,8,1,10.5,8,1,0,1,8,1,0.0,0,8,1,0,1,8,1,90,8,1
2017/6/19,15.2,8,1,24.5,8,1,7.7,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,74,8,1
2017/6/20,17.1,8,1,25.4,8,1,6.5,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,68,8,1
2017/6/21,15.1,8,1,17.1,8,1,13.6,8,1,28.0,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2017/6/22,16.3,8,1,22.4,8,1,11.8,8,1,0,1,8,1,6.6,0,8,1,0,1,8,1,86,8,1
2017/6/23,17.9,8,1,24.2,8,1,10.3,8,1,0.0,0,8,1,10.2,0,8,1,0,1,8,1,77,8,1
2017/6/24,17.6,8,1,22.3,8,1,11.7,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,84,8,1
2017/6/25,16.9,8,1,20.6,8,1,13.3,8,1,4.5,0,8,1,0.7,0,8,1,0,1,8,1,91,8,1
2017/6/26,17.1,8,1,22.7,8,1,12.0,8,1,0.0,0,8,1,8.4,0,8,1,0,1,8,1,86,8,1
2017/6/27,18.3,8,1,22.6,8,1,16.0,8,1,0,1,8,1,2.2,0,8,1,0,1,8,1,91,8,1
2017/6/28,18.6,8,1,23.1,8,1,16.7,8,1,3.5,0,8,1,3.8,0,8,1,0,1,8,1,90,8,1
2017/6/29,19.3,8,1,25.8,8,1,16.1,8,1,15.5,0,8,1,5.3,0,8,1,0,1,8,1,92,8,1
2017/6/30,20.1,8,1,23.4,8,1,17.5,8,1,7.0,0,8,1,1.7,0,8,1,0,1,8,1,88,8,1
2017/7/1,17.6,8,1,20.7,8,1,15.2,8,1,77.5,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2017/7/2,20.9,8,1,26.3,8,1,16.8,8,1,0.5,0,8,1,3.3,0,8,1,0,1,8,1,87,8,1
2017/7/3,22.9,8,1,27.5,8,1,19.0,8,1,0.5,0,8,1,5.3,0,8,1,0,1,8,1,77,8,1
2017/7/4,19.6,8,1,23.1,8,1,17.1,8,1,62.0,0,8,1,0.2,0,8,1,0,1,8,1,97,8,1
2017/7/5,20.2,8,1,25.7,8,1,17.0,8,1,1.0,0,8,1,7.4,0,8,1,0,1,8,1,89,8,1
2017/7/6,19.7,8,1,25.2,8,1,16.1,8,1,0.0,0,8,1,7.4,0,8,1,0,1,8,1,88,8,1
2017/7/7,20.3,8,1,26.9,8,1,16.1,8,1,0.0,0,8,1,9.6,0,8,1,0,1,8,1,87,8,1
2017/7/8,22.0,8,1,28.3,8,1,16.8,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,81,8,1
2017/7/9,22.4,8,1,28.5,8,1,16.6,8,1,0,1,8,1,12.2,0,8,1,0,1,8,1,80,8,1
2017/7/10,22.6,8,1,28.4,8,1,17.3,8,1,0,1,8,1,13.1,0,8,1,0,1,8,1,82,8,1
2017/7/11,22.0,8,1,27.9,8,1,15.0,8,1,0,1,8,1,11.6,0,8,1,0,1,8,1,84,8,1
2017/7/12,22.9,8,1,30.3,8,1,18.5,8,1,10.5,0,8,1,7.3,0,8,1,0,1,8,1,86,8,1
2017/7/13,22.0,8,1,27.4,8,1,18.7,8,1,6.5,0,8,1,3.6,0,8,1,0,1,8,1,93,8,1
2017/7/14,21.6,8,1,26.7,8,1,16.8,8,1,0.0,0,8,1,7.7,0,8,1,0,1,8,1,91,8,1
2017/7/15,23.2,8,1,29.0,8,1,19.1,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,86,8,1
2017/7/16,22.3,8,1,27.2,8,1,18.4,8,1,1.0,0,8,1,3.7,0,8,1,0,1,8,1,88,8,1
2017/7/17,21.8,8,1,27.7,8,1,18.0,8,1,0.5,0,8,1,7.0,0,8,1,0,1,8,1,87,8,1
2017/7/18,21.4,8,1,28.7,8,1,15.4,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,81,8,1
2017/7/19,20.5,8,1,26.2,8,1,14.5,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,85,8,1
2017/7/20,22.2,8,1,28.8,8,1,18.6,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,85,8,1
2017/7/21,23.0,8,1,28.7,8,1,18.5,8,1,0,1,8,1,11.7,0,8,1,0,1,8,1,82,8,1
2017/7/22,22.4,8,1,29.3,8,1,18.8,8,1,17.0,0,8,1,6.1,0,8,1,0,1,8,1,88,8,1
2017/7/23,20.6,8,1,22.4,8,1,19.0,8,1,4.0,0,8,1,0.0,0,8,1,0,1,8,1,95,8,1
2017/7/24,23.2,8,1,26.9,8,1,19.5,8,1,2.0,0,8,1,2.8,0,8,1,0,1,8,1,82,8,1
2017/7/25,22.0,8,1,24.7,8,1,20.2,8,1,1.0,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2017/7/26,20.1,8,1,23.9,8,1,18.1,8,1,16.5,0,8,1,0.6,0,8,1,0,1,8,1,99,8,1
2017/7/27,18.8,8,1,22.7,8,1,15.2,8,1,4.0,0,8,1,2.0,0,8,1,0,1,8,1,95,8,1
2017/7/28,21.3,8,1,24.7,8,1,18.1,8,1,0.0,0,8,1,1.1,0,8,1,0,1,8,1,94,8,1
2017/7/29,19.9,8,1,21.8,8,1,18.6,8,1,20.5,0,8,1,0.0,0,8,1,0,1,8,1,100,8,1
2017/7/30,19.4,8,1,21.8,8,1,18.4,8,1,12.5,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2017/7/31,22.5,8,1,28.2,8,1,18.6,8,1,0.5,0,8,1,8.3,0,8,1,0,1,8,1,90,8,1
2017/8/1,20.6,8,1,24.1,8,1,18.6,8,1,5.0,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2017/8/2,18.1,8,1,21.7,8,1,16.7,8,1,0.0,0,8,1,1.0,0,8,1,0,1,8,1,98,8,1
2017/8/3,18.3,8,1,21.7,8,1,16.4,8,1,0,1,8,1,2.0,0,8,1,0,1,8,1,96,8,1
2017/8/4,20.4,8,1,24.9,8,1,17.1,8,1,0,1,8,1,4.5,0,8,1,0,1,8,1,94,8,1
2017/8/5,22.8,8,1,28.8,8,1,18.7,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,90,8,1
2017/8/6,23.5,8,1,28.4,8,1,21.1,8,1,10.0,0,8,1,5.1,0,8,1,0,1,8,1,92,8,1
2017/8/7,21.8,8,1,25.3,8,1,19.6,8,1,15.5,0,8,1,2.4,0,8,1,0,1,8,1,96,8,1
