É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:19:33

,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe
2017/7/18,30.5,8,1,34.2,8,1,27.9,8,1,0,1,8,1,12.3,0,8,1,,,0,1,70,8,1
2017/7/19,30.4,8,1,34.2,8,1,28.6,8,1,0,1,8,1,11.4,0,8,1,,,0,1,72,8,1
2017/7/20,30.8,8,1,33.6,8,1,28.8,8,1,0,1,8,1,11.6,0,8,1,,,0,1,69,8,1
2017/7/21,30.6,8,1,34.3,8,1,28.7,8,1,0.0,0,8,1,8.1,0,8,1,,,0,1,69,8,1
2017/7/22,30.1,8,1,33.4,8,1,27.9,8,1,6.0,0,8,1,9.4,0,8,1,,,0,1,71,8,1
2017/7/23,30.1,8,1,32.5,8,1,27.6,8,1,0,1,8,1,12.1,0,8,1,,,0,1,70,8,1
2017/7/24,29.7,8,1,33.4,8,1,26.6,8,1,3.5,0,8,1,7.5,0,8,1,,,0,1,74,8,1
2017/7/25,28.9,8,1,31.7,8,1,25.1,8,1,18.0,0,8,1,3.6,0,8,1,,,0,1,77,8,1
2017/7/26,29.2,8,1,32.2,8,1,26.6,8,1,11.5,0,8,1,6.5,0,8,1,,,0,1,75,8,1
2017/7/27,30.5,8,1,34.0,8,1,27.2,8,1,0,1,8,1,8.8,0,8,1,,,0,1,72,8,1
2017/7/28,30.6,8,1,33.4,8,1,28.5,8,1,0.5,0,8,1,6.6,0,8,1,,,0,1,75,8,1
2017/7/29,30.9,8,1,33.9,8,1,28.4,8,1,0.0,0,8,1,9.2,0,8,1,,,0,1,74,8,1
2017/7/30,31.3,8,1,34.8,8,1,29.4,8,1,0.0,0,8,1,8.5,0,8,1,,,0,1,75,8,1
2017/7/31,31.4,8,1,35.0,8,1,29.2,8,1,0.0,0,8,1,8.4,0,8,1,,,0,1,72,8,1
2017/8/1,31.1,8,1,34.0,8,1,29.5,8,1,0.0,0,8,1,8.2,0,8,1,,,0,1,71,8,1
2017/8/2,30.7,8,1,33.4,8,1,29.3,8,1,0.0,0,8,1,8.7,0,8,1,,,0,1,74,8,1
2017/8/3,30.8,8,1,33.2,8,1,29.4,8,1,0,1,8,1,9.8,0,8,1,,,0,1,75,8,1
2017/8/4,30.9,8,1,33.4,8,1,29.7,8,1,0.0,0,8,1,6.4,0,8,1,,,0,1,74,8,1
2017/8/5,30.4,8,1,33.3,8,1,29.2,8,1,0.0,0,8,1,3.9,0,8,1,,,0,1,75,8,1
2017/8/6,30.4,8,1,32.7,8,1,29.0,8,1,1.0,0,8,1,5.2,0,8,1,,,0,1,78,8,1
2017/8/7,30.3,8,1,32.8,8,1,28.8,8,1,0.5,0,8,1,4.0,0,8,1,,,0,1,80,8,1
2017/8/8,30.5,8,1,33.4,8,1,28.9,8,1,0.0,0,8,1,10.2,0,8,1,,,0,1,79,8,1
2017/8/9,30.8,8,1,33.9,8,1,29.3,8,1,0.0,0,8,1,10.7,0,8,1,,,0,1,77,8,1
2017/8/10,30.6,8,1,33.7,8,1,29.4,8,1,0,1,8,1,7.3,0,8,1,,,0,1,78,8,1
2017/8/11,30.7,8,1,34.0,8,1,28.9,8,1,0,1,8,1,10.2,0,8,1,,,0,1,79,8,1
2017/8/12,30.3,8,1,33.9,8,1,27.5,8,1,5.0,0,8,1,10.3,0,8,1,,,0,1,78,8,1
2017/8/13,30.4,8,1,33.8,8,1,27.9,8,1,0,1,8,1,10.4,0,8,1,,,0,1,76,8,1
2017/8/14,30.5,8,1,33.3,8,1,28.7,8,1,0,1,8,1,8.8,0,8,1,,,0,1,75,8,1
2017/8/15,30.5,8,1,33.7,8,1,28.7,8,1,0.0,0,8,1,12.0,0,8,1,,,0,1,73,8,1
2017/8/16,30.3,8,1,33.3,8,1,28.8,8,1,0,1,8,1,6.4,0,8,1,,,0,1,76,8,1
2017/8/17,30.6,8,1,34.4,8,1,27.9,8,1,0,1,8,1,11.1,0,8,1,,,0,1,70,8,1
2017/8/18,30.6,8,1,33.9,8,1,28.5,8,1,0.0,0,8,1,8.3,0,8,1,,,0,1,69,8,1
2017/8/19,30.9,8,1,34.9,8,1,27.9,8,1,0,1,8,1,11.4,0,8,1,,,0,1,66,8,1
2017/8/20,30.3,8,1,34.1,8,1,27.9,8,1,4.5,0,8,1,4.4,0,8,1,,,0,1,74,8,1
2017/8/21,30.3,8,1,33.1,8,1,28.3,8,1,5.5,0,8,1,5.7,0,8,1,,,0,1,75,8,1
2017/8/22,30.0,8,1,33.2,8,1,26.4,8,1,17.0,0,8,1,8.0,0,8,1,,,0,1,74,8,1
2017/8/23,30.0,8,1,33.4,8,1,27.2,8,1,3.0,0,8,1,7.8,0,8,1,,,0,1,75,8,1
2017/8/24,30.2,8,1,34.7,8,1,28.0,8,1,1.0,0,8,1,6.8,0,8,1,,,0,1,75,8,1
2017/8/25,30.7,8,1,34.8,8,1,27.7,8,1,0.0,0,8,1,9.8,0,8,1,,,0,1,72,8,1
2017/8/26,30.3,8,1,33.8,8,1,28.1,8,1,0,1,8,1,5.5,0,8,1,,,0,1,71,8,1
2017/8/27,30.0,8,1,33.4,8,1,26.5,8,1,2.5,0,8,1,5.9,0,8,1,,,0,1,74,8,1
2017/8/28,30.4,8,1,33.6,8,1,28.2,8,1,0.0,0,8,1,6.0,0,8,1,,,0,1,69,8,1
2017/8/29,30.7,8,1,33.8,8,1,27.2,8,1,8.5,0,8,1,8.1,0,8,1,,,0,1,70,8,1
2017/8/30,29.4,8,1,31.6,8,1,27.8,8,1,8.0,0,8,1,2.1,0,8,1,,,0,1,77,8,1
2017/8/31,29.9,8,1,33.6,8,1,27.7,8,1,0,1,8,1,8.7,0,8,1,,,0,1,72,8,1
2017/9/1,29.6,8,1,32.0,8,1,28.1,8,1,0,1,8,1,8.5,0,8,1,,,0,1,62,8,1
2017/9/2,29.4,8,1,31.8,8,1,26.7,8,1,0,1,8,1,10.0,0,8,1,,,0,1,63,8,1
2017/9/3,29.3,8,1,33.9,8,1,25.8,8,1,70.5,0,8,1,3.7,0,8,1,,,0,1,74,8,1
2017/9/4,29.1,8,1,32.5,8,1,26.1,8,1,0.5,0,8,1,1.8,0,8,1,,,0,1,82,8,1
2017/9/5,30.3,8,1,33.8,8,1,28.6,8,1,0.0,0,8,1,3.1,0,8,1,,,0,1,77,8,1
2017/9/6,30.7,8,1,33.6,8,1,28.8,8,1,1.0,0,8,1,8.8,0,8,1,,,0,1,74,8,1
2017/9/7,30.2,8,1,33.0,8,1,26.7,8,1,8.5,0,8,1,7.4,0,8,1,,,0,1,77,8,1
2017/9/8,29.8,8,1,32.0,8,1,27.7,8,1,0.5,0,8,1,5.4,0,8,1,,,0,1,77,8,1
2017/9/9,30.0,8,1,32.8,8,1,27.9,8,1,0,1,8,1,9.0,0,8,1,,,0,1,75,8,1
2017/9/10,29.1,8,1,33.5,8,1,26.1,8,1,60.0,0,8,1,5.1,0,8,1,,,0,1,79,8,1
2017/9/11,30.1,8,1,33.7,8,1,27.2,8,1,0,1,8,1,8.7,0,8,1,,,0,1,76,8,1
2017/9/12,30.5,8,1,33.7,8,1,27.5,8,1,0.5,0,8,1,7.7,0,8,1,,,0,1,73,8,1
2017/9/13,28.2,8,1,29.6,8,1,24.1,8,1,27.5,0,8,1,0.1,0,8,1,,,0,1,79,8,1
2017/9/14,27.3,8,1,29.1,8,1,24.6,8,1,36.0,0,8,1,0.0,0,8,1,,,0,1,83,8,1
2017/9/15,28.7,8,1,31.0,8,1,25.6,8,1,1.5,0,8,1,5.2,0,8,1,,,0,1,75,8,1
2017/9/16,27.5,8,1,28.4,8,1,25.8,8,1,0.0,0,8,1,0.4,0,8,1,,,0,1,77,8,1
2017/9/17,26.7,8,1,28.5,8,1,25.6,8,1,0.0,0,8,1,3.1,0,8,1,,,0,1,73,8,1
2017/9/18,26.6,8,1,28.9,8,1,24.8,8,1,0,1,8,1,10.1,0,8,1,,,0,1,65,8,1
2017/9/19,26.8,8,1,30.0,8,1,23.0,8,1,0,1,8,1,10.6,0,8,1,,,0,1,68,8,1
2017/9/20,27.8,8,1,32.3,8,1,25.4,8,1,31.5,0,8,1,4.5,0,8,1,,,0,1,81,8,1
2017/9/21,29.0,8,1,32.3,8,1,26.0,8,1,0.0,0,8,1,9.3,0,8,1,,,0,1,79,8,1
2017/9/22,29.0,8,1,31.6,8,1,27.3,8,1,0.0,0,8,1,5.4,0,8,1,,,0,1,81,8,1
2017/9/23,28.6,8,1,31.5,8,1,26.4,8,1,1.5,0,8,1,6.0,0,8,1,,,0,1,81,8,1
2017/9/24,29.2,8,1,31.8,8,1,27.4,8,1,0.0,0,8,1,8.9,0,8,1,,,0,1,78,8,1
2017/9/25,29.1,8,1,31.1,8,1,27.7,8,1,0.0,0,8,1,6.7,0,8,1,,,0,1,78,8,1
2017/9/26,29.4,8,1,31.9,8,1,28.1,8,1,0.0,0,8,1,9.1,0,8,1,,,0,1,78,8,1
2017/9/27,29.6,8,1,32.2,8,1,28.3,8,1,0.0,0,8,1,7.3,0,8,1,,,0,1,78,8,1
2017/9/28,28.6,8,1,31.0,8,1,27.3,8,1,0,1,8,1,6.0,0,8,1,,,0,1,76,8,1
2017/9/29,28.3,8,1,30.7,8,1,26.1,8,1,0,1,8,1,5.1,0,8,1,,,0,1,67,8,1
2017/9/30,28.5,8,1,31.4,8,1,26.7,8,1,0.0,0,8,1,9.1,0,8,1,,,0,1,61,8,1
2017/10/1,27.9,8,1,30.8,8,1,26.1,8,1,0,1,8,1,10.2,0,8,1,,,0,1,58,8,1
2017/10/2,27.5,8,1,30.3,8,1,24.6,8,1,0,1,8,1,10.5,0,8,1,,,0,1,72,8,1
2017/10/3,28.2,8,1,30.8,8,1,26.2,8,1,0.0,0,8,1,11.1,0,8,1,,,0,1,73,8,1
2017/10/4,28.0,8,1,30.1,8,1,26.9,8,1,0.0,0,8,1,9.3,0,8,1,,,0,1,71,8,1
2017/10/5,27.9,8,1,30.4,8,1,26.7,8,1,2.0,0,8,1,2.2,0,8,1,,,0,1,77,8,1
2017/10/6,28.8,8,1,32.7,8,1,26.6,8,1,0,1,8,1,7.7,0,8,1,,,0,1,72,8,1
2017/10/7,28.9,8,1,33.0,8,1,26.9,8,1,0.0,0,8,1,8.7,0,8,1,,,0,1,70,8,1
2017/10/8,28.9,8,1,31.9,8,1,27.4,8,1,1.0,0,8,1,4.1,0,8,1,,,0,1,77,8,1
2017/10/9,28.7,8,1,31.1,8,1,26.2,8,1,5.5,0,8,1,6.4,0,8,1,,,0,1,79,8,1
2017/10/10,28.9,8,1,31.7,8,1,26.9,8,1,0.5,0,8,1,6.0,0,8,1,,,0,1,76,8,1
2017/10/11,28.8,8,1,31.3,8,1,27.2,8,1,0.0,0,8,1,7.2,0,8,1,,,0,1,73,8,1
2017/10/12,28.7,8,1,31.7,8,1,27.0,8,1,0.0,0,8,1,5.1,0,8,1,,,0,1,74,8,1
2017/10/13,28.6,8,1,31.9,8,1,26.0,8,1,13.0,0,8,1,5.7,0,8,1,,,0,1,81,8,1
2017/10/14,28.4,8,1,30.9,8,1,24.9,8,1,12.5,0,8,1,1.8,0,8,1,,,0,1,83,8,1
2017/10/15,29.2,8,1,32.1,8,1,27.4,8,1,2.0,0,8,1,6.0,0,8,1,,,0,1,78,8,1
2017/10/16,28.7,8,1,31.8,8,1,27.3,8,1,1.0,0,8,1,2.9,0,8,1,,,0,1,76,8,1
2017/10/17,27.1,8,1,30.1,8,1,25.4,8,1,33.0,0,8,1,1.0,0,8,1,,,0,1,84,8,1
2017/10/18,27.3,8,1,31.4,8,1,25.4,8,1,21.5,0,8,1,3.0,0,8,1,,,0,1,86,8,1
2017/10/19,27.5,8,1,31.6,8,1,25.1,8,1,4.5,0,8,1,4.1,0,8,1,,,0,1,80,8,1
2017/10/20,27.8,8,1,30.6,8,1,26.0,8,1,0.0,0,8,1,4.1,0,8,1,,,0,1,77,8,1
2017/10/21,26.8,8,1,28.8,8,1,24.7,8,1,5.0,0,8,1,2.5,0,8,1,,,0,1,82,8,1
2017/10/22,25.3,8,1,27.1,8,1,23.0,8,1,10.5,0,8,1,5.1,0,8,1,,,0,1,72,8,1
2017/10/23,25.2,8,1,27.4,8,1,23.8,8,1,0.0,0,8,1,6.7,0,8,1,,,0,1,57,8,1
2017/10/24,24.4,8,1,27.1,8,1,22.6,8,1,0.0,0,8,1,7.8,0,8,1,,,0,1,55,8,1
2017/10/25,24.1,8,1,26.4,8,1,22.7,8,1,0.0,0,8,1,4.8,0,8,1,,,0,1,59,8,1
2017/10/26,24.8,8,1,27.6,8,1,22.6,8,1,0.0,0,8,1,6.8,0,8,1,,,0,1,60,8,1
2017/10/27,25.3,8,1,26.9,8,1,22.6,8,1,14.5,0,8,1,0.0,0,8,1,,,0,1,85,8,1
2017/10/28,25.6,8,1,27.1,8,1,23.5,8,1,143.5,0,8,1,0.0,0,8,1,,,0,1,90,8,1
2017/10/29,24.7,8,1,26.6,8,1,23.2,8,1,0.0,0,8,1,1.1,0,8,1,,,0,1,67,8,1
2017/10/30,22.0,8,1,23.7,8,1,21.1,8,1,0.0,0,8,1,0.4,0,8,1,,,0,1,54,8,1
2017/10/31,23.1,8,1,25.3,8,1,20.0,8,1,0,1,8,1,3.5,0,8,1,,,0,1,56,8,1
2017/11/1,24.4,8,1,26.7,8,1,22.3,8,1,0.0,0,8,1,3.0,0,8,1,,,0,1,62,8,1
2017/11/2,24.8,8,1,27.8,8,1,22.7,8,1,0,1,8,1,8.8,0,8,1,,,0,1,67,8,1
2017/11/3,25.0,8,1,27.5,8,1,23.0,8,1,0,1,8,1,7.6,0,8,1,,,0,1,66,8,1
2017/11/4,22.4,8,1,24.3,8,1,20.8,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,71,8,1
2017/11/5,22.8,8,1,26.0,8,1,19.8,8,1,0,1,8,1,7.8,0,8,1,,,0,1,59,8,1
2017/11/6,24.5,8,1,26.9,8,1,22.9,8,1,0,1,8,1,2.7,0,8,1,,,0,1,67,8,1
2017/11/7,24.3,8,1,27.3,8,1,22.0,8,1,0,1,8,1,6.8,0,8,1,,,0,1,71,8,1
2017/11/8,24.1,8,1,27.5,8,1,21.2,8,1,0.0,0,8,1,9.2,0,8,1,,,0,1,78,8,1
2017/11/9,24.5,8,1,27.5,8,1,23.1,8,1,0.0,0,8,1,5.4,0,8,1,,,0,1,69,8,1
2017/11/10,24.7,8,1,27.9,8,1,23.6,8,1,1.0,0,8,1,2.0,0,8,1,,,0,1,78,8,1
2017/11/11,23.8,8,1,25.7,8,1,22.3,8,1,18.0,0,8,1,1.0,0,8,1,,,0,1,79,8,1
2017/11/12,21.8,8,1,23.3,8,1,20.6,8,1,1.0,0,8,1,0.0,0,8,1,,,0,1,72,8,1
2017/11/13,23.1,8,1,24.7,8,1,20.8,8,1,1.0,0,8,1,0.0,0,8,1,,,0,1,80,8,1
2017/11/14,23.5,8,1,25.8,8,1,22.0,8,1,45.0,0,8,1,2.2,0,8,1,,,0,1,82,8,1
2017/11/15,22.9,8,1,26.2,8,1,21.2,8,1,0,1,8,1,3.1,0,8,1,,,0,1,65,8,1
2017/11/16,22.1,8,1,23.8,8,1,20.7,8,1,0.0,0,8,1,0.1,0,8,1,,,0,1,67,8,1
2017/11/17,23.3,8,1,24.9,8,1,21.7,8,1,37.5,0,8,1,0.0,0,8,1,,,0,1,85,8,1
2017/11/18,22.8,8,1,25.9,8,1,19.3,8,1,5.5,0,8,1,1.2,0,8,1,,,0,1,77,8,1
2017/11/19,19.2,8,1,21.0,8,1,18.4,8,1,0.0,0,8,1,3.3,0,8,1,,,0,1,55,8,1
2017/11/20,19.7,8,1,22.2,8,1,18.5,8,1,0.0,0,8,1,2.4,0,8,1,,,0,1,62,8,1
2017/11/21,21.1,8,1,23.3,8,1,19.0,8,1,1.5,0,8,1,0.0,0,8,1,,,0,1,69,8,1
2017/11/22,23.5,8,1,27.1,8,1,21.6,8,1,17.0,0,8,1,2.6,0,8,1,,,0,1,84,8,1
2017/11/23,20.0,8,1,22.4,8,1,17.9,8,1,0.5,0,8,1,1.1,0,8,1,,,0,1,65,8,1
2017/11/24,18.8,8,1,21.5,8,1,15.9,8,1,0.0,0,8,1,2.9,0,8,1,,,0,1,51,8,1
2017/11/25,20.8,8,1,23.4,8,1,18.3,8,1,0.0,0,8,1,0.1,0,8,1,,,0,1,61,8,1
2017/11/26,22.4,8,1,24.9,8,1,20.3,8,1,16.0,0,8,1,0.1,0,8,1,,,0,1,80,8,1
2017/11/27,22.1,8,1,24.1,8,1,20.6,8,1,0.5,0,8,1,2.0,0,8,1,,,0,1,79,8,1
2017/11/28,23.7,8,1,26.3,8,1,22.1,8,1,0.0,0,8,1,5.4,0,8,1,,,0,1,76,8,1
2017/11/29,23.9,8,1,27.0,8,1,22.0,8,1,0,1,8,1,4.4,0,8,1,,,0,1,79,8,1
2017/11/30,23.1,8,1,25.2,8,1,19.9,8,1,2.0,0,8,1,0.4,0,8,1,,,0,1,79,8,1
2017/12/1,18.8,8,1,20.9,8,1,16.9,8,1,5.5,0,8,1,0.0,0,8,1,,,0,1,84,8,1
2017/12/2,18.5,8,1,20.3,8,1,16.8,8,1,9.0,0,8,1,0.0,0,8,1,,,0,1,85,8,1
2017/12/3,20.7,8,1,23.1,8,1,19.6,8,1,12.0,0,8,1,0.1,0,8,1,,,0,1,88,8,1
2017/12/4,20.9,8,1,22.3,8,1,19.4,8,1,0.5,0,8,1,0.9,0,8,1,,,0,1,70,8,1
2017/12/5,18.2,8,1,19.7,8,1,16.7,8,1,0.0,0,8,1,5.4,0,8,1,,,0,1,49,8,1
2017/12/6,17.5,8,1,20.2,8,1,15.3,8,1,0.0,0,8,1,7.2,0,8,1,,,0,1,48,8,1
2017/12/7,19.3,8,1,21.6,8,1,16.5,8,1,0.0,0,8,1,0.5,0,8,1,,,0,1,56,8,1
2017/12/8,17.6,8,1,20.4,8,1,16.4,8,1,5.0,0,8,1,0.1,0,8,1,,,0,1,60,8,1
2017/12/9,17.3,8,1,19.9,8,1,15.7,8,1,0.0,0,8,1,5.3,0,8,1,,,0,1,54,8,1
2017/12/10,19.1,8,1,22.6,8,1,15.0,8,1,0.0,0,8,1,9.0,0,8,1,,,0,1,58,8,1
2017/12/11,18.5,8,1,19.9,8,1,16.5,8,1,0,1,8,1,3.3,0,8,1,,,0,1,54,8,1
2017/12/12,17.5,8,1,20.7,8,1,16.1,8,1,0,1,8,1,3.5,0,8,1,,,0,1,54,8,1
2017/12/13,17.4,8,1,20.0,8,1,15.8,8,1,0.0,0,8,1,3.4,0,8,1,,,0,1,59,8,1
2017/12/14,17.2,8,1,20.1,8,1,15.4,8,1,0,1,8,1,5.0,0,8,1,,,0,1,52,8,1
2017/12/15,18.9,8,1,22.1,8,1,16.9,8,1,0,1,8,1,5.3,0,8,1,,,0,1,64,8,1
2017/12/16,18.6,8,1,22.9,8,1,16.1,8,1,14.0,0,8,1,5.7,0,8,1,,,0,1,75,8,1
2017/12/17,15.7,8,1,16.5,8,1,14.7,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,60,8,1
2017/12/18,16.6,8,1,18.3,8,1,14.5,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,61,8,1
2017/12/19,16.7,8,1,17.9,8,1,15.1,8,1,3.0,0,8,1,0.0,0,8,1,,,0,1,73,8,1
2017/12/20,17.2,8,1,18.6,8,1,16.3,8,1,0.5,0,8,1,0.0,0,8,1,,,0,1,59,8,1
2017/12/21,16.3,8,1,18.8,8,1,14.5,8,1,0,1,8,1,6.4,0,8,1,,,0,1,49,8,1
2017/12/22,17.0,8,1,19.9,8,1,13.1,8,1,0,1,8,1,5.7,0,8,1,,,0,1,52,8,1
2017/12/23,19.0,8,1,21.2,8,1,15.8,8,1,0.0,0,8,1,0.3,0,8,1,,,0,1,66,8,1
2017/12/24,21.5,8,1,25.5,8,1,17.9,8,1,0.0,0,8,1,5.5,0,8,1,,,0,1,76,8,1
2017/12/25,17.2,8,1,18.6,8,1,16.3,8,1,0.0,0,8,1,2.9,0,8,1,,,0,1,52,8,1
2017/12/26,17.3,8,1,19.3,8,1,15.2,8,1,0,1,8,1,2.8,0,8,1,,,0,1,52,8,1
2017/12/27,17.1,8,1,19.8,8,1,15.1,8,1,0,1,8,1,4.8,0,8,1,,,0,1,53,8,1
2017/12/28,17.3,8,1,20.9,8,1,13.7,8,1,0,1,8,1,6.2,0,8,1,,,0,1,53,8,1
2017/12/29,17.9,8,1,20.1,8,1,16.9,8,1,0.0,0,8,1,1.4,0,8,1,,,0,1,60,8,1
2017/12/30,18.2,8,1,21.3,8,1,15.2,8,1,0,1,8,1,9.1,0,8,1,,,0,1,57,8,1
2017/12/31,17.7,8,1,20.4,8,1,14.8,8,1,1.0,0,8,1,1.7,0,8,1,,,0,1,65,8,1
2018/1/1,16.8,8,1,19.6,8,1,14.4,8,1,0,1,8,1,8.2,0,8,1,,,0,1,51,8,1
2018/1/2,16.9,8,1,20.7,8,1,14.0,8,1,0,1,8,1,6.6,0,8,1,,,0,1,54,8,1
2018/1/3,17.9,8,1,21.1,8,1,13.7,8,1,0,1,8,1,8.7,0,8,1,,,0,1,58,8,1
2018/1/4,19.7,8,1,22.2,8,1,16.6,8,1,0.0,0,8,1,1.7,0,8,1,,,0,1,67,8,1
2018/1/5,20.3,8,1,22.3,8,1,17.7,8,1,9.5,0,8,1,0.0,0,8,1,,,0,1,77,8,1
2018/1/6,17.3,8,1,19.0,8,1,16.4,8,1,0.0,0,8,1,1.1,0,8,1,,,0,1,59,8,1
2018/1/7,17.5,8,1,19.9,8,1,15.3,8,1,10.0,0,8,1,0.0,0,8,1,,,0,1,85,8,1
2018/1/8,21.0,8,1,24.1,8,1,18.3,8,1,36.0,0,8,1,0.5,0,8,1,,,0,1,84,8,1
2018/1/9,15.0,8,1,18.4,8,1,13.8,8,1,1.5,0,8,1,0.0,0,8,1,,,0,1,64,8,1
2018/1/10,14.3,8,1,15.2,8,1,13.7,8,1,0.0,0,8,1,0.1,0,8,1,,,0,1,50,8,1
2018/1/11,13.3,8,1,14.9,8,1,12.4,8,1,0.0,0,8,1,1.7,0,8,1,,,0,1,49,8,1
2018/1/12,11.9,8,1,14.0,8,1,9.7,8,1,2.5,0,8,1,1.8,0,8,1,,,0,1,55,8,1
2018/1/13,13.0,8,1,16.2,8,1,9.3,8,1,2.5,0,8,1,8.0,0,8,1,,,0,1,61,8,1
2018/1/14,16.3,8,1,19.6,8,1,13.2,8,1,0.0,0,8,1,5.8,0,8,1,,,0,1,57,8,1
2018/1/15,19.0,8,1,22.1,8,1,15.0,8,1,0.0,0,8,1,8.4,0,8,1,,,0,1,61,8,1
2018/1/16,20.8,8,1,23.4,8,1,18.8,8,1,0.0,0,8,1,7.6,0,8,1,,,0,1,61,8,1
2018/1/17,19.7,8,1,21.5,8,1,18.6,8,1,21.5,0,8,1,0.0,0,8,1,,,0,1,85,8,1
2018/1/18,20.2,8,1,22.8,8,1,18.9,8,1,0.0,0,8,1,3.0,0,8,1,,,0,1,78,8,1
2018/1/19,18.5,8,1,20.5,8,1,16.1,8,1,20.5,0,8,1,0.0,0,8,1,,,0,1,87,8,1
2018/1/20,18.9,8,1,21.5,8,1,16.1,8,1,1.0,0,8,1,0.0,0,8,1,,,0,1,77,8,1
2018/1/21,19.9,8,1,22.4,8,1,17.8,8,1,1.0,0,8,1,3.5,0,8,1,,,0,1,76,8,1
2018/1/22,19.0,8,1,20.3,8,1,17.3,8,1,26.0,0,8,1,0.0,0,8,1,,,0,1,76,8,1
2018/1/23,17.7,8,1,20.0,8,1,16.5,8,1,0.0,0,8,1,1.3,0,8,1,,,0,1,60,8,1
2018/1/24,16.5,8,1,18.6,8,1,15.0,8,1,0.0,0,8,1,0.4,0,8,1,,,0,1,67,8,1
2018/1/25,15.7,8,1,18.7,8,1,14.5,8,1,0,1,8,1,2.3,0,8,1,,,0,1,64,8,1
2018/1/26,14.4,8,1,15.5,8,1,12.8,8,1,1.0,0,8,1,0.1,0,8,1,,,0,1,74,8,1
2018/1/27,15.2,8,1,17.0,8,1,13.5,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,59,8,1
2018/1/28,18.6,8,1,22.0,8,1,14.1,8,1,15.0,0,8,1,1.3,0,8,1,,,0,1,73,8,1
2018/1/29,15.0,8,1,16.8,8,1,13.8,8,1,2.0,0,8,1,0.0,0,8,1,,,0,1,75,8,1
2018/1/30,14.9,8,1,17.6,8,1,13.9,8,1,0.0,0,8,1,2.3,0,8,1,,,0,1,55,8,1
2018/1/31,17.4,8,1,20.4,8,1,14.3,8,1,0.5,0,8,1,0.5,0,8,1,,,0,1,66,8,1
2018/2/1,16.9,8,1,20.4,8,1,15.4,8,1,33.0,0,8,1,0.7,0,8,1,,,0,1,79,8,1
2018/2/2,15.8,8,1,19.1,8,1,13.7,8,1,2.5,0,8,1,4.7,0,8,1,,,0,1,67,8,1
2018/2/3,14.1,8,1,15.1,8,1,12.9,8,1,1.0,0,8,1,0.0,0,8,1,,,0,1,64,8,1
2018/2/4,12.4,8,1,13.4,8,1,11.2,8,1,1.0,0,8,1,0.0,0,8,1,,,0,1,64,8,1
2018/2/5,11.5,8,1,12.2,8,1,10.6,8,1,2.5,0,8,1,0.0,0,8,1,,,0,1,62,8,1
2018/2/6,12.1,8,1,14.0,8,1,11.0,8,1,0.0,0,8,1,2.8,0,8,1,,,0,1,47,8,1
2018/2/7,12.7,8,1,15.1,8,1,10.3,8,1,0.0,0,8,1,3.0,0,8,1,,,0,1,49,8,1
2018/2/8,14.0,8,1,16.1,8,1,12.5,8,1,0.0,0,8,1,0.5,0,8,1,,,0,1,51,8,1
2018/2/9,17.6,8,1,20.8,8,1,13.6,8,1,0.0,0,8,1,3.2,0,8,1,,,0,1,63,8,1
2018/2/10,19.9,8,1,24.3,8,1,17.0,8,1,4.0,0,8,1,1.2,0,8,1,,,0,1,82,8,1
2018/2/11,15.1,8,1,17.7,8,1,12.9,8,1,0.0,0,8,1,0.0,0,8,1,,,0,1,64,8,1
2018/2/12,13.0,8,1,14.7,8,1,11.9,8,1,0,1,8,1,1.9,0,8,1,,,0,1,48,8,1
2018/2/13,12.7,8,1,15.1,8,1,11.3,8,1,0.0,0,8,1,7.5,0,8,1,,,0,1,47,8,1
2018/2/14,15.0,8,1,20.1,8,1,9.6,8,1,0,1,8,1,2.6,0,8,1,,,0,1,65,8,1
2018/2/15,19.8,8,1,24.4,8,1,14.3,8,1,0,1,8,1,10.2,0,8,1,,,0,1,75,8,1
2018/2/16,20.4,8,1,24.7,8,1,17.3,8,1,18.0,0,8,1,3.5,0,8,1,,,0,1,88,8,1
2018/2/17,18.3,8,1,20.5,8,1,16.0,8,1,0,1,8,1,7.2,0,8,1,,,0,1,61,8,1
2018/2/18,17.6,8,1,21.2,8,1,13.3,8,1,0,1,8,1,8.6,0,8,1,,,0,1,63,8,1
2018/2/19,20.0,8,1,23.7,8,1,15.5,8,1,0,1,8,1,10.5,0,8,1,,,0,1,70,8,1
2018/2/20,21.2,8,1,24.1,8,1,20.0,8,1,0.0,0,8,1,2.3,0,8,1,,,0,1,78,8,1
2018/2/21,19.5,8,1,21.4,8,1,17.6,8,1,1.5,0,8,1,2.1,0,8,1,,,0,1,76,8,1
2018/2/22,17.6,8,1,19.0,8,1,15.7,8,1,2.5,0,8,1,0.0,0,8,1,,,0,1,82,8,1
