É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/04/07 17:36:14

,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ,åFíJ
2016/9/21,20.5,8,1,23.8,8,1,18.1,8,1,0.0,0,8,1,0.3,0,8,1,0,1,8,1,79,8,1
2016/9/22,19.6,8,1,20.9,8,1,18.5,8,1,21.5,0,8,1,0.0,0,8,1,0,1,8,1,95,8,1
2016/9/23,21.0,8,1,22.8,8,1,19.4,8,1,8.0,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2016/9/24,21.6,8,1,23.5,8,1,20.5,8,1,0.5,0,8,1,0.0,0,8,1,0,1,8,1,92,8,1
2016/9/25,24.5,8,1,29.1,8,1,19.8,8,1,0.0,0,8,1,8.5,0,8,1,0,1,8,1,78,8,1
2016/9/26,25.1,8,1,29.1,8,1,22.3,8,1,0.0,0,8,1,1.6,0,8,1,0,1,8,1,78,8,1
2016/9/27,26.0,8,1,30.2,8,1,22.7,8,1,0.0,0,8,1,4.7,0,8,1,0,1,8,1,79,8,1
2016/9/28,24.9,8,1,28.3,8,1,22.6,8,1,1.5,0,8,1,0.5,0,8,1,0,1,8,1,84,8,1
2016/9/29,24.0,8,1,28.8,8,1,20.7,8,1,2.0,0,8,1,0.1,0,8,1,0,1,8,1,75,8,1
2016/9/30,20.7,8,1,23.7,8,1,18.4,8,1,0,1,8,1,0.4,0,8,1,0,1,8,1,57,8,1
2016/10/1,20.2,8,1,22.7,8,1,17.4,8,1,1.0,0,8,1,0.0,0,8,1,0,1,8,1,79,8,1
2016/10/2,23.5,8,1,29.2,8,1,19.4,8,1,0.5,0,8,1,6.0,0,8,1,0,1,8,1,76,8,1
2016/10/3,22.0,8,1,24.1,8,1,20.4,8,1,1.0,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2016/10/4,25.5,8,1,32.3,8,1,20.0,8,1,0,1,8,1,7.3,0,8,1,0,1,8,1,57,8,1
2016/10/5,20.5,8,1,22.1,8,1,18.5,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,74,8,1
2016/10/6,24.8,8,1,31.0,8,1,19.8,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,50,8,1
2016/10/7,20.6,8,1,24.8,8,1,16.9,8,1,0,1,8,1,5.9,0,8,1,0,1,8,1,46,8,1
2016/10/8,20.0,8,1,24.6,8,1,17.6,8,1,0.0,0,8,1,2.7,0,8,1,0,1,8,1,74,8,1
2016/10/9,20.5,8,1,23.9,8,1,17.1,8,1,1.0,0,8,1,0.8,0,8,1,0,1,8,1,66,8,1
2016/10/10,17.9,8,1,21.1,8,1,16.1,8,1,0,1,8,1,1.0,0,8,1,0,1,8,1,58,8,1
2016/10/11,17.1,8,1,21.3,8,1,14.0,8,1,0,1,8,1,1.1,0,8,1,0,1,8,1,60,8,1
2016/10/12,18.0,8,1,24.3,8,1,12.0,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,53,8,1
2016/10/13,15.9,8,1,17.0,8,1,14.5,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,63,8,1
2016/10/14,15.3,8,1,20.7,8,1,11.9,8,1,0,1,8,1,8.0,0,8,1,0,1,8,1,64,8,1
2016/10/15,16.2,8,1,23.7,8,1,9.2,8,1,0,1,8,1,10.7,0,8,1,0,1,8,1,57,8,1
2016/10/16,17.4,8,1,24.3,8,1,11.6,8,1,0.0,0,8,1,6.1,0,8,1,0,1,8,1,56,8,1
2016/10/17,17.0,8,1,18.5,8,1,15.1,8,1,18.5,0,8,1,0.0,0,8,1,0,1,8,1,89,8,1
2016/10/18,21.9,8,1,28.0,8,1,15.8,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,72,8,1
2016/10/19,21.2,8,1,24.8,8,1,18.9,8,1,0,1,8,1,1.3,0,8,1,0,1,8,1,74,8,1
2016/10/20,21.6,8,1,28.1,8,1,16.6,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,54,8,1
2016/10/21,17.9,8,1,22.5,8,1,12.8,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,46,8,1
2016/10/22,14.7,8,1,17.2,8,1,12.7,8,1,0,1,8,1,0.0,0,8,1,0,1,8,1,71,8,1
2016/10/23,17.6,8,1,24.1,8,1,13.1,8,1,0,1,8,1,6.5,0,8,1,0,1,8,1,56,8,1
2016/10/24,14.6,8,1,19.6,8,1,10.3,8,1,0,1,8,1,10.3,0,8,1,0,1,8,1,43,8,1
2016/10/25,11.7,8,1,15.4,8,1,7.1,8,1,0.0,0,8,1,2.9,0,8,1,0,1,8,1,64,8,1
2016/10/26,18.1,8,1,26.5,8,1,9.9,8,1,1.5,0,8,1,10.2,0,8,1,0,1,8,1,70,8,1
2016/10/27,17.8,8,1,23.0,8,1,11.9,8,1,0.0,0,8,1,10.3,0,8,1,0,1,8,1,45,8,1
2016/10/28,10.7,8,1,12.7,8,1,8.7,8,1,10.5,0,8,1,0.0,0,8,1,0,1,8,1,74,8,1
2016/10/29,15.9,8,1,22.1,8,1,11.1,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,54,8,1
2016/10/30,12.0,8,1,15.1,8,1,8.6,8,1,0,1,8,1,1.6,0,8,1,0,1,8,1,61,8,1
2016/10/31,12.9,8,1,17.4,8,1,8.2,8,1,0,1,8,1,2.3,0,8,1,0,1,5,1,68,8,1
2016/11/1,13.3,8,1,18.7,8,1,10.6,8,1,0.5,0,8,1,4.2,0,8,1,0,1,8,1,65,8,1
2016/11/2,11.0,8,1,13.2,8,1,9.2,8,1,0.0,0,8,1,0.6,0,8,1,0,1,8,1,58,8,1
2016/11/3,13.4,8,1,20.2,8,1,9.9,8,1,0.0,0,8,1,9.8,0,8,1,0,1,8,1,48,8,1
2016/11/4,12.7,8,1,19.0,8,1,6.2,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,46,8,1
2016/11/5,13.2,8,1,20.3,8,1,7.3,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,57,8,1
2016/11/6,14.5,8,1,19.7,8,1,9.8,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,44,8,1
2016/11/7,9.6,8,1,14.1,8,1,5.9,8,1,0,1,8,1,6.6,0,8,1,0,1,8,1,57,8,1
2016/11/8,9.0,8,1,12.7,8,1,4.3,8,1,0.0,0,8,1,1.7,0,8,1,0,1,8,1,68,8,1
2016/11/9,10.1,8,1,13.8,8,1,6.4,8,1,0.0,0,8,1,9.0,0,8,1,0,1,8,1,37,8,1
2016/11/10,8.9,8,1,12.1,8,1,6.2,8,1,0.0,0,8,1,0.7,0,8,1,0,1,8,1,44,8,1
2016/11/11,8.8,8,1,11.4,8,1,5.5,8,1,35.5,0,8,1,0.0,0,8,1,0,1,8,1,92,8,1
2016/11/12,13.6,8,1,20.3,8,1,8.5,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,69,8,1
2016/11/13,12.6,8,1,18.8,8,1,7.3,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,71,8,1
2016/11/14,13.3,8,1,16.9,8,1,10.4,8,1,6.0,0,8,1,0.0,0,8,1,0,1,8,1,75,8,1
2016/11/15,15.3,8,1,20.0,8,1,11.5,8,1,2.0,0,8,1,4.5,0,8,1,0,1,8,1,72,8,1
2016/11/16,12.0,8,1,16.3,8,1,9.7,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,41,8,1
2016/11/17,11.1,8,1,19.2,8,1,4.3,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,52,8,1
2016/11/18,9.0,8,1,14.2,8,1,3.1,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,60,8,1
2016/11/19,9.0,8,1,11.2,8,1,7.1,8,1,7.5,0,8,1,0.0,0,8,1,0,1,8,1,85,8,1
2016/11/20,10.5,8,1,14.2,8,1,6.6,8,1,0,1,8,1,0.9,0,8,1,0,1,8,1,93,8,1
2016/11/21,10.6,8,1,13.0,8,1,7.6,8,1,8.5,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2016/11/22,14.1,8,1,21.5,8,1,9.3,8,1,0.5,0,8,1,7.7,0,8,1,0,1,8,1,79,8,1
2016/11/23,10.2,8,1,13.5,8,1,7.4,8,1,0,1,8,1,0.1,0,8,1,0,1,8,1,40,8,1
2016/11/24,2.4,8,1,7.4,8,1,0.4,8,1,17.0,0,8,1,0.0,0,8,1,6,0,8,1,82,8,1
2016/11/25,3.2,8,1,8.7,8,1,-1.5,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,76,8,1
2016/11/26,6.1,8,1,11.8,8,1,-0.2,8,1,0,1,8,1,6.2,0,8,1,0,1,8,1,74,8,1
2016/11/27,9.8,8,1,14.0,8,1,7.2,8,1,6.0,0,8,1,0.7,0,8,1,0,1,8,1,79,8,1
2016/11/28,10.4,8,1,14.4,8,1,7.2,8,1,3.0,0,8,1,4.4,0,8,1,0,1,8,1,56,8,1
2016/11/29,9.2,8,1,13.9,8,1,6.2,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,46,8,1
2016/11/30,7.1,8,1,10.1,8,1,1.6,8,1,0.0,0,8,1,6.0,0,8,1,0,1,8,1,52,8,1
2016/12/1,10.2,8,1,16.8,8,1,5.7,8,1,0.5,0,8,1,4.6,0,8,1,0,1,8,1,72,8,1
2016/12/2,11.2,8,1,16.2,8,1,6.7,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,38,8,1
2016/12/3,9.4,8,1,16.4,8,1,2.3,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,57,8,1
2016/12/4,9.7,8,1,14.1,8,1,6.2,8,1,1.5,0,8,1,1.7,0,8,1,0,1,8,1,68,8,1
2016/12/5,12.2,8,1,19.2,8,1,6.8,8,1,5.0,0,8,1,7.8,0,8,1,0,1,8,1,73,8,1
2016/12/6,9.4,8,1,16.7,8,1,5.5,8,1,0.0,0,8,1,8.1,0,8,1,0,1,8,1,52,8,1
2016/12/7,5.7,8,1,8.7,8,1,2.3,8,1,0,1,8,1,1.7,0,8,1,0,1,8,1,54,8,1
2016/12/8,7.2,8,1,13.9,8,1,0.5,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,52,8,1
2016/12/9,8.2,8,1,15.5,8,1,1.9,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,53,8,1
2016/12/10,7.3,8,1,11.4,8,1,4.0,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,41,8,1
2016/12/11,5.4,8,1,10.5,8,1,2.2,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,42,8,1
2016/12/12,5.8,8,1,10.6,8,1,2.8,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,43,8,1
2016/12/13,7.8,8,1,13.6,8,1,2.0,8,1,2.5,0,8,1,6.0,0,8,1,0,1,8,1,56,8,1
2016/12/14,8.0,8,1,14.0,8,1,4.1,8,1,26.0,0,8,1,4.1,0,8,1,0,1,8,1,65,8,1
2016/12/15,4.8,8,1,10.2,8,1,-0.3,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,41,8,1
2016/12/16,2.9,8,1,9.8,8,1,-1.6,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,48,8,1
2016/12/17,5.9,8,1,14.5,8,1,-1.6,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,41,8,1
2016/12/18,7.4,8,1,15.0,8,1,1.8,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,51,8,1
2016/12/19,8.3,8,1,16.4,8,1,2.0,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,56,8,1
2016/12/20,9.0,8,1,16.2,8,1,4.0,8,1,0,1,8,1,6.7,0,8,1,0,1,8,1,62,8,1
2016/12/21,8.5,8,1,16.7,8,1,1.8,8,1,0,1,8,1,8.0,0,8,1,0,1,8,1,68,8,1
2016/12/22,8.4,8,1,11.0,8,1,3.5,8,1,3.5,0,8,1,1.9,0,8,1,0,1,8,1,75,8,1
2016/12/23,11.9,8,1,17.2,8,1,6.6,8,1,4.0,0,8,1,8.2,0,8,1,0,1,8,1,59,8,1
2016/12/24,6.7,8,1,11.1,8,1,1.9,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,49,8,1
2016/12/25,4.2,8,1,11.4,8,1,-1.0,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,62,8,1
2016/12/26,4.8,8,1,8.4,8,1,0.8,8,1,0,1,8,1,0.4,0,8,1,0,1,8,1,62,8,1
2016/12/27,7.6,8,1,15.0,8,1,2.9,8,1,1.5,0,8,1,1.6,0,8,1,0,1,8,1,62,8,1
2016/12/28,4.6,8,1,8.4,8,1,-0.5,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,42,8,1
2016/12/29,3.1,8,1,8.0,8,1,-1.5,8,1,0,1,8,1,6.4,0,8,1,0,1,8,1,52,8,1
2016/12/30,4.7,8,1,9.4,8,1,1.0,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,42,8,1
2016/12/31,4.6,8,1,14.2,8,1,-2.8,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,51,8,1
2017/1/1,6.9,8,1,14.4,8,1,0.0,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,52,8,1
2017/1/2,5.9,8,1,13.3,8,1,0.8,8,1,0,1,8,1,6.2,0,8,1,0,1,8,1,59,8,1
2017/1/3,7.0,8,1,13.3,8,1,0.4,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,50,8,1
2017/1/4,6.0,8,1,14.4,8,1,-1.0,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,47,8,1
2017/1/5,5.4,8,1,9.3,8,1,2.6,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,39,8,1
2017/1/6,4.0,8,1,10.3,8,1,-0.5,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,40,8,1
2017/1/7,2.8,8,1,9.4,8,1,-3.3,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,52,8,1
2017/1/8,2.4,8,1,6.6,8,1,-1.7,8,1,9.5,0,8,1,0.0,0,8,1,0,1,8,1,73,8,1
2017/1/9,7.5,8,1,13.5,8,1,2.4,8,1,6.5,0,8,1,4.0,0,8,1,0,1,8,1,69,8,1
2017/1/10,8.1,8,1,13.1,8,1,5.1,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,45,8,1
2017/1/11,5.6,8,1,11.4,8,1,0.9,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,41,8,1
2017/1/12,4.4,8,1,12.0,8,1,-2.2,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,44,8,1
2017/1/13,3.5,8,1,11.4,8,1,-2.0,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,52,8,1
2017/1/14,1.0,8,1,6.9,8,1,-2.3,8,1,0.0,0,8,1,3.7,0,8,1,0,1,8,1,53,8,1
2017/1/15,-0.5,8,1,4.0,8,1,-3.4,8,1,0.0,0,8,1,7.0,0,8,1,0,1,8,1,56,8,1
2017/1/16,1.3,8,1,7.2,8,1,-5.3,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,56,8,1
2017/1/17,4.8,8,1,10.7,8,1,0.6,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,55,8,1
2017/1/18,4.0,8,1,9.6,8,1,-1.1,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,50,8,1
2017/1/19,5.0,8,1,11.1,8,1,-0.3,8,1,0,1,8,1,7.3,0,8,1,0,1,8,1,44,8,1
2017/1/20,1.5,8,1,3.4,8,1,-1.1,8,1,0.0,0,8,1,0.7,0,8,1,0,1,8,1,60,8,1
2017/1/21,4.1,8,1,9.5,8,1,-0.7,8,1,0.0,0,8,1,9.5,0,8,1,0,1,8,1,54,8,1
2017/1/22,4.2,8,1,11.4,8,1,-2.0,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,46,8,1
2017/1/23,2.8,8,1,7.6,8,1,-0.8,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,33,8,1
2017/1/24,1.2,8,1,7.5,8,1,-2.4,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,37,8,1
2017/1/25,2.6,8,1,9.0,8,1,-3.1,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,36,8,1
2017/1/26,4.3,8,1,11.5,8,1,-0.7,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,36,8,1
2017/1/27,5.8,8,1,13.6,8,1,-0.7,8,1,0,1,8,1,5.9,0,8,1,0,1,8,1,45,8,1
2017/1/28,7.7,8,1,13.7,8,1,3.7,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,38,8,1
2017/1/29,6.9,8,1,11.7,8,1,3.1,8,1,0.0,0,8,1,2.8,0,8,1,0,1,8,1,54,8,1
2017/1/30,8.9,8,1,19.0,8,1,3.1,8,1,0.0,0,8,1,8.7,0,8,1,0,1,8,1,56,8,1
2017/1/31,4.4,8,1,9.4,8,1,0.7,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,34,8,1
2017/2/1,3.8,8,1,10.0,8,1,-2.2,8,1,0.0,0,8,1,9.4,0,8,1,0,1,8,1,42,8,1
2017/2/2,3.9,8,1,8.5,8,1,0.0,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,26,8,1
2017/2/3,6.7,8,1,11.6,8,1,1.5,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,32,8,1
2017/2/4,7.5,8,1,14.3,8,1,2.9,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,30,8,1
2017/2/5,4.9,8,1,9.2,8,1,0.4,8,1,0,1,8,1,1.9,0,8,1,0,1,8,1,55,8,1
2017/2/6,7.0,8,1,13.4,8,1,1.3,8,1,0.0,0,8,1,8.0,0,8,1,0,1,8,1,50,8,1
2017/2/7,4.3,8,1,9.2,8,1,0.7,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,31,8,1
2017/2/8,4.7,8,1,10.4,8,1,-0.9,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,32,8,1
2017/2/9,2.3,8,1,3.9,8,1,1.2,8,1,2.5,0,8,1,0.0,0,8,1,0,1,8,1,72,8,1
2017/2/10,3.6,8,1,8.5,8,1,0.6,8,1,0.0,0,8,1,7.8,0,8,1,0,1,8,1,52,8,1
2017/2/11,3.2,8,1,9.7,8,1,-2.3,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,30,8,1
2017/2/12,4.6,8,1,10.2,8,1,1.0,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,43,8,1
2017/2/13,5.5,8,1,11.8,8,1,1.7,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,32,8,1
2017/2/14,4.8,8,1,11.4,8,1,0.8,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,35,8,1
2017/2/15,5.8,8,1,12.5,8,1,1.3,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,34,8,1
2017/2/16,6.2,8,1,14.0,8,1,-1.8,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,44,8,1
2017/2/17,10.1,8,1,21.0,8,1,0.7,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,41,8,1
2017/2/18,7.2,8,1,11.1,8,1,2.0,8,1,0.0,0,8,1,2.0,0,8,1,0,1,8,1,35,8,1
2017/2/19,5.2,8,1,10.6,8,1,0.8,8,1,0.0,0,8,1,10.6,0,8,1,0,1,8,1,31,8,1
2017/2/20,7.6,8,1,15.7,8,1,1.0,8,1,1.5,0,8,1,9.0,0,8,1,0,1,8,1,45,8,1
2017/2/21,4.6,8,1,8.2,8,1,2.1,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,37,8,1
2017/2/22,5.5,8,1,10.5,8,1,-0.3,8,1,0.0,0,8,1,7.9,0,8,1,0,1,8,1,37,8,1
2017/2/23,9.4,8,1,17.9,8,1,3.9,8,1,0.0,0,8,1,4.9,0,8,1,0,1,8,1,48,8,1
2017/2/24,6.1,8,1,10.1,8,1,3.2,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,28,8,1
2017/2/25,6.3,8,1,12.5,8,1,-1.5,8,1,0.0,0,8,1,9.8,0,8,1,0,1,8,1,36,8,1
2017/2/26,8.4,8,1,14.5,8,1,1.4,8,1,0.0,0,8,1,9.0,0,8,1,0,1,8,1,37,8,1
2017/2/27,6.6,8,1,11.6,8,1,3.2,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,43,8,1
2017/2/28,5.7,8,1,10.8,8,1,2.6,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,46,8,1
2017/3/1,5.8,8,1,10.5,8,1,1.3,8,1,2.0,0,8,1,3.0,0,8,1,0,1,8,1,62,8,1
2017/3/2,7.0,8,1,10.0,8,1,4.6,8,1,3.0,0,8,1,0.5,0,8,1,0,1,8,1,81,8,1
2017/3/3,8.3,8,1,14.0,8,1,4.2,8,1,0,1,8,1,10.6,0,8,1,0,1,8,1,43,8,1
2017/3/4,7.8,8,1,15.2,8,1,-0.3,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,44,8,1
2017/3/5,9.1,8,1,16.3,8,1,1.6,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,55,8,1
2017/3/6,8.7,8,1,11.1,8,1,5.2,8,1,0,1,8,1,1.1,0,8,1,0,1,8,1,71,8,1
2017/3/7,5.6,8,1,9.4,8,1,1.4,8,1,0.5,0,8,1,2.6,0,8,1,0,1,8,1,43,8,1
2017/3/8,5.2,8,1,12.0,8,1,-2.0,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,36,8,1
2017/3/9,7.2,8,1,14.3,8,1,-0.1,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,33,8,1
2017/3/10,7.3,8,1,13.7,8,1,2.0,8,1,0.0,0,8,1,10.1,0,8,1,0,1,8,1,37,8,1
2017/3/11,7.2,8,1,13.5,8,1,3.0,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,37,8,1
2017/3/12,6.5,8,1,12.6,8,1,-0.2,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,40,8,1
2017/3/13,7.9,8,1,10.4,8,1,5.8,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,57,8,1
2017/3/14,8.0,8,1,12.0,8,1,5.9,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,79,8,1
2017/3/15,5.5,8,1,7.0,8,1,4.0,8,1,2.5,0,8,1,0.0,0,8,1,0,1,8,1,71,8,1
2017/3/16,7.8,8,1,14.7,8,1,0.7,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,43,8,1
2017/3/17,8.3,8,1,14.9,8,1,2.0,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,34,8,1
2017/3/18,9.5,8,1,15.6,8,1,2.3,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,29,8,1
2017/3/19,10.8,8,1,17.4,8,1,3.4,8,1,0,1,8,1,10.5,0,8,1,0,1,8,1,36,8,1
2017/3/20,12.3,8,1,18.9,8,1,5.8,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,29,8,1
2017/3/21,8.5,8,1,10.0,8,1,6.9,8,1,15.0,0,8,1,0.0,0,8,1,0,1,8,1,80,8,1
2017/3/22,8.5,8,1,14.0,8,1,4.5,8,1,0.0,0,8,1,11.4,0,8,1,0,1,8,1,40,8,1
2017/3/23,8.3,8,1,15.2,8,1,2.0,8,1,0,1,8,1,6.7,0,8,1,0,1,8,1,40,8,1
2017/3/24,7.3,8,1,12.5,8,1,3.4,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,37,8,1
2017/3/25,7.8,8,1,13.4,8,1,2.6,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,37,8,1
2017/3/26,5.3,8,1,7.1,8,1,3.7,8,1,11.0,0,8,1,0.0,0,8,1,0,1,8,1,81,8,1
2017/3/27,5.9,8,1,10.5,8,1,3.4,8,1,27.0,0,8,1,1.3,0,8,1,0,1,8,1,73,8,1
2017/3/28,8.6,8,1,14.5,8,1,3.6,8,1,0.0,0,8,1,9.1,0,8,1,0,1,8,1,50,8,1
2017/3/29,8.9,8,1,15.1,8,1,2.4,8,1,0,1,8,1,11.6,0,8,1,0,1,8,1,56,8,1
2017/3/30,11.4,8,1,18.5,8,1,4.5,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,50,8,1
2017/3/31,8.7,8,1,12.0,8,1,5.2,8,1,3.0,0,8,1,0.0,0,8,1,0,1,8,1,51,8,1
2017/4/1,6.3,8,1,8.6,8,1,4.3,8,1,3.5,0,8,1,0.0,0,8,1,0,1,8,1,74,8,1
2017/4/2,8.6,8,1,14.2,8,1,2.6,8,1,0.0,0,8,1,10.4,0,8,1,0,1,8,1,54,8,1
2017/4/3,9.2,8,1,16.6,8,1,4.5,8,1,2.5,0,8,1,9.0,0,8,1,0,1,8,1,57,8,1
2017/4/4,11.2,8,1,18.2,8,1,4.9,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,54,8,1
2017/4/5,13.6,8,1,21.9,8,1,5.8,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,58,8,1
2017/4/6,15.5,8,1,23.2,8,1,8.2,8,1,0.0,0,8,1,7.8,0,8,1,0,1,8,1,61,8,1
2017/4/7,17.9,8,1,24.4,8,1,13.7,8,1,0.0,0,8,1,6.5,0,8,1,0,1,8,1,68,8,1
2017/4/8,14.9,8,1,15.9,8,1,13.3,8,1,1.0,0,8,1,0.0,0,8,1,0,1,8,1,90,8,1
2017/4/9,14.3,8,1,17.8,8,1,9.5,8,1,4.5,0,8,1,0.5,0,8,1,0,1,8,1,74,8,1
2017/4/10,10.7,8,1,16.6,8,1,5.3,8,1,0,1,8,1,8.0,0,8,1,0,1,8,1,36,8,1
2017/4/11,7.1,8,1,9.6,8,1,5.1,8,1,35.0,0,8,1,0.0,0,8,1,0,1,8,1,84,8,1
2017/4/12,14.0,8,1,19.7,8,1,8.6,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,42,8,1
2017/4/13,11.6,8,1,18.6,8,1,4.7,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,30,8,1
2017/4/14,14.2,8,1,23.4,8,1,5.6,8,1,0,1,8,1,11.7,0,8,1,0,1,8,1,44,8,1
2017/4/15,16.8,8,1,24.7,8,1,9.4,8,1,0.0,0,8,1,8.4,0,8,1,0,1,8,1,47,8,1
2017/4/16,19.4,8,1,28.0,8,1,9.1,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,36,8,1
2017/4/17,18.3,8,1,26.4,8,1,14.8,8,1,4.0,0,8,1,3.7,0,8,1,0,1,8,1,52,8,1
2017/4/18,19.1,8,1,28.1,8,1,14.3,8,1,3.0,0,8,1,7.3,0,8,1,0,1,8,1,70,8,1
2017/4/19,15.9,8,1,24.6,8,1,10.7,8,1,0,1,8,1,11.0,0,8,1,0,1,8,1,41,8,1
2017/4/20,15.9,8,1,22.4,8,1,10.8,8,1,0,1,8,1,11.7,0,8,1,0,1,8,1,39,8,1
2017/4/21,15.4,8,1,19.4,8,1,12.3,8,1,0,1,8,1,1.8,0,8,1,0,1,8,1,59,8,1
2017/4/22,15.0,8,1,20.5,8,1,10.3,8,1,0.5,0,8,1,4.5,0,8,1,0,1,8,1,52,8,1
2017/4/23,14.2,8,1,21.2,8,1,8.4,8,1,0.0,0,8,1,12.9,0,8,1,0,1,8,1,43,8,1
